festival_name,place_name,sigungu,dong
춘천막국수닭갈비축제,중도동 357-41 일대,춘천시,근화동
2024 온세대 합창페스티벌,춘천문화예술회관,춘천시,효자 1동
2024 석사천 재즈 페스타,석사천 일원,춘천시,강남동
2024 춘베리아 특급열차,미정,춘천시,효자 1동
제45회 소양강문화제,시청 호반광장,춘천시,소양동
춘천 토이페스티벌,서면 애니메이션박물관 일원,춘천시,서면
제23회 섬강축제,간현관광지 주차장,원주시,지정면
제21회 장미축제,단계동 장미공원,원주시,단계동
2024 원주 댄싱카니발,원주 댄싱공연장 일원,원주시,명륜1동
제26회 원주한지문화제,원주한지테마파크 일원,원주시,무실동
치악산 복숭아 축제,댄싱공원장 일원,원주시,명륜1동
치악산 고구마 축제,간현관광지 일원,원주시,지정면
2024 경포 벚꽃 축제,경포대 및 경포호 일원,강릉시,경포동
제2회 초당미식로드축제 「초당도시락(樂)」,"국립강릉원주대 해람홍보관
 (초당순두부길 86)",강릉시,경포동
강릉단오제,강릉남대천 일원,강릉시,"강남동, 중앙동"
제3회 강릉 비치비어페스티벌,경포해변 중앙광장,강릉시,경포동
풍호마을축제,강동면 풍호길 100-1,강릉시,강동면
2024 경포 썸머페스티벌,경포해변,강릉시,경포동
강릉문화재야행,강릉대도호부관아 일원,강릉시,중앙동
제2회 경포 등 축제,강릉시 습지광장 및 경포대 일원,강릉시,경포동
제16회 강릉커피축제,강릉올림픽파크 일원,강릉시,"초당동,경포동"
제3회 강릉 누들축제,월화거리,강릉시,중앙동
제3회 강릉와인축제,강릉월화거리 일원,강릉시,중앙동
제4회 강릉크리스마스 겨울축제,강릉월화거리 일원,강릉시,옥천동
2025 해돋이 행사,"경포해변, 정동진",강릉시,"경포동,강동면"
동해항 크랩킹페스타,북평제2일반산업단지일원,동해시,북평동
제6회 묵호등대 논골담길 축제,묵호항 수변공원,동해시,묵호동
제2회 무릉별유천지 라벤더 축제,무릉별유천지,동해시,북삼동
묵호도째비페스타,묵호항여객터미널일원,동해시,발한동
동해무릉제,동해웰빙스포츠타운일원,동해시,천곡동
제 31회 태백산 눈축제,태백산국립공원일원,태백시,"문곡소도동, 황지동"
한강낙동강발원지 축제,황지연못 일원,태백시,황지동
태백제,태백종합운동장,태백시,문곡소도동
태백 천상의 산나물축제,장성문화복합센터,태백시,장성동
설악벚꽃축제,상도문솥밭,속초시,노학동
2024 실향민문화축제,"엑스포 잔디광장, 아바이마을",속초시,"조양동,청호동"
2024 속초썸머페스티벌,속초해수욕장,속초시,조양동
2024 속초음식축제,엑스포타워 광장,속초시,조양동
제59회 설악문화제,설악로데오거리. 엑스포 잔디광장,속초시,"조양동, 금호동, 교동"
삼척정월대보름제,엑스포광장 및 삼척해수욕장 일원,삼척시,"성내동,교동"
2024 삼척 장미축제,삼척 장미공원,삼척시,성내동
제15회 삼척평생학습박람회 및 제5회 책축제,삼척문화예술회관 및 삼척시청소년수련관 일원,삼척시,성내동
제12회 홍천강 꽁꽁축제,홍천강변 일원,홍천군,홍천읍
제8회 홍천강 별빛음악 맥주축제,토리숲 일원,홍천군,홍천읍
