기준년월,행정동명,방문자 구분,방문자 수
20221201,영동읍,외지인방문자(b),5348.0
20221201,영동읍,전체방문자(a+b),29452.0
20221201,영동읍,현지인방문자(a),24104.0
20221202,영동읍,현지인방문자(a),24724.0
20221202,영동읍,전체방문자(a+b),30944.0
20221202,영동읍,외지인방문자(b),6220.0
20221203,영동읍,외지인방문자(b),8726.0
20221203,영동읍,현지인방문자(a),21416.0
20221203,영동읍,전체방문자(a+b),30142.0
20221204,영동읍,전체방문자(a+b),27128.0
20221204,영동읍,현지인방문자(a),19576.0
20221204,영동읍,외지인방문자(b),7553.0
20221205,영동읍,전체방문자(a+b),30530.0
20221205,영동읍,외지인방문자(b),5688.0
20221205,영동읍,현지인방문자(a),24843.0
20221206,영동읍,현지인방문자(a),24346.0
20221206,영동읍,전체방문자(a+b),29872.0
20221206,영동읍,외지인방문자(b),5526.0
20221207,영동읍,현지인방문자(a),24472.0
20221207,영동읍,외지인방문자(b),5418.0
20221207,영동읍,전체방문자(a+b),29890.0
20221208,영동읍,외지인방문자(b),5481.0
20221208,영동읍,전체방문자(a+b),29806.0
20221208,영동읍,현지인방문자(a),24325.0
20221209,영동읍,외지인방문자(b),6864.0
20221209,영동읍,전체방문자(a+b),32868.0
20221209,영동읍,현지인방문자(a),26005.0
20221210,영동읍,현지인방문자(a),21147.0
20221210,영동읍,외지인방문자(b),8788.0
20221210,영동읍,전체방문자(a+b),29936.0
20221211,영동읍,현지인방문자(a),19019.0
20221211,영동읍,외지인방문자(b),7388.0
20221211,영동읍,전체방문자(a+b),26408.0
20221212,영동읍,외지인방문자(b),5551.0
20221212,영동읍,현지인방문자(a),24560.0
20221212,영동읍,전체방문자(a+b),30110.0
20221213,영동읍,현지인방문자(a),23639.0
20221213,영동읍,외지인방문자(b),5240.0
20221213,영동읍,전체방문자(a+b),28878.0
20221214,영동읍,현지인방문자(a),23474.0
20221214,영동읍,전체방문자(a+b),28546.0
20221214,영동읍,외지인방문자(b),5072.0
20221215,영동읍,전체방문자(a+b),29774.0
20221215,영동읍,현지인방문자(a),24252.0
20221215,영동읍,외지인방문자(b),5523.0
20221216,영동읍,외지인방문자(b),6416.0
20221216,영동읍,전체방문자(a+b),31412.0
20221216,영동읍,현지인방문자(a),24997.0
20221217,영동읍,외지인방문자(b),7634.0
20221217,영동읍,현지인방문자(a),20044.0
20221217,영동읍,전체방문자(a+b),27678.0
20221218,영동읍,전체방문자(a+b),24552.0
20221218,영동읍,외지인방문자(b),6720.0
20221218,영동읍,현지인방문자(a),17832.0
20221219,영동읍,외지인방문자(b),5772.0
20221219,영동읍,현지인방문자(a),24773.0
20221219,영동읍,전체방문자(a+b),30544.0
20221220,영동읍,현지인방문자(a),24468.0
20221220,영동읍,외지인방문자(b),5932.0
20221220,영동읍,전체방문자(a+b),30401.0
20221221,영동읍,현지인방문자(a),22939.0
20221221,영동읍,전체방문자(a+b),27986.0
20221221,영동읍,외지인방문자(b),5047.0
20221222,영동읍,현지인방문자(a),22236.0
20221222,영동읍,전체방문자(a+b),27814.0
20221222,영동읍,외지인방문자(b),5579.0
20221223,영동읍,전체방문자(a+b),28917.0
20221223,영동읍,현지인방문자(a),22838.0
20221223,영동읍,외지인방문자(b),6080.0
20221224,영동읍,현지인방문자(a),21290.0
20221224,영동읍,전체방문자(a+b),29340.0
20221224,영동읍,외지인방문자(b),8050.0
20221225,영동읍,전체방문자(a+b),25879.0
20221225,영동읍,외지인방문자(b),7133.0
20221225,영동읍,현지인방문자(a),18746.0
20221226,영동읍,외지인방문자(b),5828.0
20221226,영동읍,전체방문자(a+b),29978.0
20221226,영동읍,현지인방문자(a),24150.0
20221227,영동읍,현지인방문자(a),23660.0
20221227,영동읍,외지인방문자(b),6356.0
20221227,영동읍,전체방문자(a+b),30016.0
20221228,영동읍,외지인방문자(b),6038.0
20221228,영동읍,전체방문자(a+b),29642.0
20221228,영동읍,현지인방문자(a),23604.0
20221229,영동읍,전체방문자(a+b),32067.0
20221229,영동읍,현지인방문자(a),25084.0
