datetime,weather_station_id,min_temperature,max_temperature,rain_duration_active_hours,total_rainfall_active_hours
2022-12-01,135,-7.5,0.0,0,0.0
2022-12-02,135,-9.7,2.2,0,0.0
2022-12-03,135,-5.6,7.8,0,0.0
2022-12-04,135,-3.0,3.0,0,0.0
2022-12-05,135,-5.2,1.6,0,0.0
2022-12-06,135,-7.6,3.9,1,0.1
2022-12-07,135,1.9,7.0,0,0.0
2022-12-08,135,-1.5,9.1,0,0.0
2022-12-09,135,-4.5,10.6,0,0.0
2022-12-10,135,-3.0,5.6,0,0.0
2022-12-11,135,-3.3,6.9,0,0.0
2022-12-12,135,-5.9,5.9,0,0.0
2022-12-13,135,-1.3,4.4,2,2.6
2022-12-14,135,-10.9,-2.7,2,0.30000000000000004
2022-12-15,135,-11.5,4.0,1,0.7
2022-12-16,135,-6.2,-0.3,1,0.5
2022-12-17,135,-9.1,-4.0,2,0.30000000000000004
2022-12-18,135,-12.4,-5.7,0,0.0
2022-12-19,135,-13.4,-0.9,0,0.0
2022-12-20,135,-10.0,2.3,0,0.0
2022-12-21,135,-4.7,1.2,6,6.0
2022-12-22,135,-9.7,0.2,1,0.6
2022-12-23,135,-10.4,-7.0,1,0.4
2022-12-24,135,-11.7,-3.5,0,0.0
2022-12-25,135,-9.5,0.0,0,0.0
2022-12-26,135,-7.1,0.3,0,0.0
2022-12-27,135,-7.8,1.7,0,0.0
2022-12-28,135,-4.8,-0.5,0,0.0
2022-12-29,135,-7.0,-0.2,0,0.0
2022-12-30,135,-7.5,1.2,0,0.0
2022-12-31,135,-5.6,1.5,0,0.0
2023-01-01,135,-1.8,4.0,0,0.0
2023-01-02,135,-6.0,0.6,0,0.0
2023-01-03,135,-8.0,0.8,0,0.0
2023-01-04,135,-5.1,3.6,0,0.0
2023-01-05,135,-7.6,4.0,0,0.0
2023-01-06,135,-4.2,6.9,0,0.0
2023-01-07,135,-1.4,4.7,2,1.9
2023-01-08,135,-5.5,7.5,0,0.0
