기준년월,행정동명,방문자 구분,방문자 수
20221201,홍천읍,외지인방문자(b),7028.0
20221201,경포동,전체방문자(a+b),34615.0
20221201,경포동,외지인방문자(b),10367.0
20221201,경포동,현지인방문자(a),24248.0
20221201,강동면,전체방문자(a+b),11417.0
20221201,화천읍,전체방문자(a+b),10612.0
20221201,화천읍,현지인방문자(a),8141.0
20221201,화천읍,외지인방문자(b),2471.0
20221201,강동면,외지인방문자(b),4396.0
20221201,홍천읍,전체방문자(a+b),35931.0
20221201,동송읍,현지인방문자(a),10815.0
20221201,강동면,현지인방문자(a),7021.0
20221201,동송읍,전체방문자(a+b),14108.0
20221201,동송읍,외지인방문자(b),3294.0
20221201,홍천읍,현지인방문자(a),28903.0
20221202,경포동,현지인방문자(a),22631.0
20221202,홍천읍,외지인방문자(b),8998.0
20221202,동송읍,외지인방문자(b),4260.0
20221202,화천읍,전체방문자(a+b),10426.0
20221202,화천읍,외지인방문자(b),2390.0
20221202,강동면,전체방문자(a+b),12442.0
20221202,동송읍,현지인방문자(a),10958.0
20221202,화천읍,현지인방문자(a),8036.0
20221202,경포동,전체방문자(a+b),37072.0
20221202,강동면,외지인방문자(b),5586.0
20221202,강동면,현지인방문자(a),6856.0
20221202,동송읍,전체방문자(a+b),15218.0
20221202,홍천읍,현지인방문자(a),29312.0
20221202,경포동,외지인방문자(b),14441.0
20221202,홍천읍,전체방문자(a+b),38311.0
20221203,경포동,외지인방문자(b),24500.0
20221203,화천읍,전체방문자(a+b),9698.0
20221203,강동면,전체방문자(a+b),15379.0
20221203,홍천읍,외지인방문자(b),12842.0
20221203,동송읍,외지인방문자(b),7651.0
20221203,화천읍,현지인방문자(a),6755.0
20221203,강동면,외지인방문자(b),9558.0
20221203,경포동,현지인방문자(a),21458.0
20221203,동송읍,현지인방문자(a),9978.0
20221203,홍천읍,현지인방문자(a),24430.0
20221203,경포동,전체방문자(a+b),45958.0
20221203,화천읍,외지인방문자(b),2944.0
20221203,동송읍,전체방문자(a+b),17630.0
20221203,강동면,현지인방문자(a),5820.0
20221203,홍천읍,전체방문자(a+b),37272.0
20221204,강동면,현지인방문자(a),5022.0
20221204,홍천읍,현지인방문자(a),23118.0
20221204,홍천읍,전체방문자(a+b),34016.0
20221204,경포동,외지인방문자(b),20181.0
20221204,화천읍,외지인방문자(b),2590.0
20221204,경포동,전체방문자(a+b),39914.0
20221204,경포동,현지인방문자(a),19733.0
20221204,강동면,전체방문자(a+b),13920.0
20221204,동송읍,외지인방문자(b),7172.0
20221204,홍천읍,외지인방문자(b),10899.0
20221204,동송읍,전체방문자(a+b),16520.0
20221204,화천읍,현지인방문자(a),6136.0
20221204,동송읍,현지인방문자(a),9348.0
20221204,강동면,외지인방문자(b),8897.0
20221204,화천읍,전체방문자(a+b),8726.0
20221205,홍천읍,외지인방문자(b),7539.0
20221205,강동면,현지인방문자(a),6898.0
20221205,강동면,전체방문자(a+b),12117.0
20221205,경포동,외지인방문자(b),11364.0
20221205,홍천읍,현지인방문자(a),28392.0
20221205,홍천읍,전체방문자(a+b),35931.0
20221205,강동면,외지인방문자(b),5218.0
20221205,경포동,전체방문자(a+b),33824.0
20221205,화천읍,외지인방문자(b),2208.0
20221205,화천읍,전체방문자(a+b),10171.0
20221205,동송읍,현지인방문자(a),10776.0
20221205,화천읍,현지인방문자(a),7962.0
20221205,동송읍,외지인방문자(b),4462.0
20221205,동송읍,전체방문자(a+b),15239.0
20221205,경포동,현지인방문자(a),22460.0
20221206,화천읍,전체방문자(a+b),10654.0
20221206,홍천읍,현지인방문자(a),28906.0
20221206,경포동,현지인방문자(a),22774.0
20221206,화천읍,현지인방문자(a),7707.0
20221206,화천읍,외지인방문자(b),2947.0
20221206,동송읍,전체방문자(a+b),13752.0
20221206,동송읍,외지인방문자(b),3238.0
20221206,강동면,현지인방문자(a),7032.0
20221206,홍천읍,외지인방문자(b),7480.0
20221206,경포동,외지인방문자(b),10202.0
20221206,강동면,외지인방문자(b),5215.0
