축제명,축제 유형,개최 장소,,개최기간,,,,,,,공연 날짜,방문객수
,,지역,,시작일,,,종료일,,,"총
일수",,전체
,,시군구,읍면동,년,월,일,년,월,일,,,
춘천막국수닭갈비축제,특산물,춘천시,근화동,2023,6,13,2023,6,18,6,"16, 17, 18","153,597"
2024 온세대 합창페스티벌,문화예술,춘천시,효자1동,2023,8,25,2023,8,25,1,,"13,205"
2024 석사천 재즈 페스타,문화예술,춘천시,강남동,2023,10,6,2023,10,8,3,,"39,000"
2024 춘베리아 특급열차,문화예술,춘천시,효자1동,2023,12,10,2023,12,12,3,"10, 11, 12","5,000"
제45회 소양강문화제,문화예술,춘천시,소양동,2023,9,23,2023,9,24,2,,"7,060"
춘천 토이페스티벌,기타,춘천시,서면,2023,11,11,2023,11,12,2,11,"30,000"
제23회 섬강축제,생태자연,원주시,지정면,2023,11,3,2023,11,5,3,,"6,000"
제21회 장미축제,기타,원주시,단계동,2023,5,26,2023,5,28,3,,"10,000"
2024 원주 댄싱카니발,문화예술,원주시,명륜1동,2023,9,22,2023,9,24,3,"22, 23, 24","410,000"
제26회 원주한지문화제,문화예술,원주시,무실동,2023,5,5,2023,5,14,10,,"230,000"
치악산 복숭아 축제,특산물,원주시,명륜1동,2023,8,19,2023,8,20,2,,"16,000"
치악산 고구마 축제,특산물,원주시,지정면,2023,10,21,2023,10,22,2,,"15,000"
2024 경포 벚꽃 축제,자연,강릉시,경포동,2023,3,31,2023,4,5,6,,"300,000"
제2회 초당미식로드축제 「초당도시락(樂)」,기타,강릉시,경포동,2023,5,13,2023,5,13,1,,"5,000"
강릉단오제,전통역사,강릉시,"강남동,중앙동",2023,6,18,2023,6,25,8,,"620,000"
제3회 강릉 비치비어페스티벌,기타,강릉시,경포동,2023,6,30,2023,7,2,3,,"40,000"
풍호마을축제,기타,강릉시,강동면,2023,7,28,2023,7,30,3,,"5,000"
2024 경포 썸머페스티벌,기타,강릉시,경포동,2023,7,30,2023,8,6,8,"30, 2, 3, 4","48,000"
강릉문화재야행,기타,강릉시,중앙동,2023,7,8,2023,7,10,3,,"261,000"
제2회 경포 등 축제,기타,강릉시,경포동,2023,9,28,2023,10,3,6,,"170,000"
제16회 강릉커피축제,기타,강릉시,"초당동,경포동",2023,10,12,2023,10,15,4,"13, 14","420,000"
제3회 강릉 누들축제,특산물,강릉시,중앙동,2023,10,27,2023,10,29,3,,"37,500"
제3회 강릉와인축제,기타,강릉시,중앙동,2023,11,2,2023,11,4,3,,"50,000"
제4회 강릉크리스마스 겨울축제,기타,강릉시,옥천동,2023,12,23,2023,12,25,3,,"10,000"
2025 해돋이 행사,기타,강릉시,"경포동,강동면",2022,12,31,2023,1,1,2,,"220,000"
동해항 크랩킹페스타,특산물,동해시,북평동,2023,5,5,2023,5,7,3,,"12,000"
제6회 묵호등대 논골담길 축제,문화예술,동해시,묵호동,2023,9,8,2023,9,10,3,,500
제2회 무릉별유천지 라벤더 축제,생태자연,동해시,북삼동,2023,6,9,2023,6,11,3,,"11,894"
묵호도째비페스타,특산물,동해시,발한동,2023,7,21,2023,7,23,3,22,"15,000"
동해무릉제,주민화합,동해시,천곡동,2023,9,22,2023,9,24,3,"22, 23","20,000"
제 31회 태백산 눈축제,생태자연,태백시,"문곡소도동, 황지동",2023,1,27,2023,1,31,5,27,"306,200"
한강낙동강발원지 축제,문화예술,태백시,황지동,2023,7,28,2023,8,6,10,28,"70,638"
태백제,주민화합,태백시,문곡소도동,2023,10,1,2023,10,3,3,1,"18,508"
태백 천상의 산나물축제,생태자연,태백시,장성동,2023,4,29,2023,5,1,3,,"5,000"
설악벚꽃축제,생태자연,속초시,노학동,2023,4,8,2023,4,8,1,,"1,200"
2024 실향민문화축제,문화예술,속초시,"조양동,청호동",2023,6,9,2023,6,11,3,,"98,723"
2024 속초썸머페스티벌,문화예술,속초시,조양동,2023,7,28,2023,8,5,9,,"37,000"
2024 속초음식축제,특산물,속초시,조양동,2023,10,6,2023,10,8,3,,"121,000"
제59회 설악문화제,문화예술,속초시,"조양동,금호동,교동",2023,10,6,2023,10,8,3,"6, 8","121,914"
삼척정월대보름제,전통역사,삼척시,"조양동,교동",2023,2,3,2023,2,5,3,3,"113,000"
2024 삼척 장미축제,생태자연,삼척시,성내동,2023,5,20,2023,5,24,5,,"330,000"
제15회 삼척평생학습박람회 및 제5회 책축제,기타,삼척시,성내동,2023,10,21,2023,10,22,2,,"25,000"
제12회 홍천강 꽁꽁축제,전통역사,홍천군,홍천읍,2023,1,13,2023,1,24,12,,"150,820"
제8회 홍천강 별빛음악 맥주축제,특산물,홍천군,홍천읍,2023,8,1,2023,8,6,6,"4, 5","130,682"
제6회 홍천산나물축제,특산물,홍천군,홍천읍,2023,4,28,2023,4,30,3,,"31,080"
제28회 홍천찰옥수수축제,특산물,홍천군,홍천읍,2023,7,28,2023,7,30,3,,"38,064"
제22회 강원홍천 인삼한우 명품축제,특산물,홍천군,홍천읍,2023,10,6,2023,10,9,4,,"70,472"
제9회 홍천사과축제,특산물,홍천군,홍천읍,2023,11,3,2023,11,5,3,,"33,485"
제13회 둔내고랭지토마토축제,특산물,횡성군,둔내면,2023,8,12,2023,8,14,3,13,"38,000"
제11회 횡성더덕축제,특산물,횡성군,청일면,2023,9,15,2023,9,17,3,15,"30,000"
제16회 안흥찐빵축제,특산물,횡성군,안흥면,2023,10,13,2023,10,15,3,,"70,000"
제20회 횡성한우축제,특산물,횡성군,횡성읍,2023,10,6,2023,10,10,5,"6, 7, 8, 9, 10","250,000"
제5회 횡성호수길축제,생태자연,횡성군,갑천면,2023,5,5,2023,5,7,3,,"11,000"
제35회 회다지민속문화제,전통역사,횡성군,우천면,2023,4,28,2023,4,30,3,,"4,000"
제5회 태종노구문화제,전통역사,횡성군,강림면,2023,10,21,2023,10,22,2,,"2,000"
제2회 소(牛)맥 프리미엄 페스티벌,기타,횡성군,공근면,2023,8,25,2023,8,27,3,,"7,000"
단종문화제,전통역사,영월군,영월읍,2023,4,28,2023,4,30,3,,"50,000"
동강뗏목축제,문화예술,영월군,영월읍,2023,7,28,2023,7,30,3,"28, 29, 30","50,000"
김삿갓문화제,전통역사,영월군,김삿갓면,2023,9,22,2023,9,24,3,"22, 23","30,000"
제30회 대관령눈꽃축제,생태자연,평창군,대관령면,2023,1,20,2023,1,29,10,,"67,317"
2024 계촌클래식축제,문화예술,평창군,방림면,2023,5,26,2023,5,28,3,,"4,500"
2024 평창더위사냥축제,생태자연,평창군,대화면,2023,7,28,2023,8,6,10,,"21,635"
2024 평창효석문화제,문화예술,평창군,봉평면,2023,9,8,2023,9,17,10,,"267,925"
2024 평창농악축제,전통역사,평창군,용평면,2023,9,15,2023,9,18,4,,"5,000"
2024 평창백일홍축제,생태자연,평창군,평창읍,2023,9,22,2023,10,3,12,,"99,266"
제18회 정선 동강할미꽃 축제,생태자연,정선군,정선읍,2023,3,31,2023,3,31,1,,"2,500"
함백산야생화축제,생태자연,정선군,고한읍,2023,7,29,2023,8,6,9,,"150,000"
제28회 사북석탄문화제,문화예술,정선군,사북읍,2023,8,4,2023,8,6,3,,"1,400"
두위봉 철쭉축제,생태자연,정선군,방제리,2023,5,27,2023,5,28,2,,"5,100"
제32회 화암약수제,기타,정선군,화암면,2023,4,29,2023,4,30,2,,"1,500"
2024 정선토속음식 축제,기타,정선군,북평면,2023,4,21,2023,4,23,3,,"60,000"
항골 숨바우길 트레킹 대회,기타,정선군,북평면,2023,10,21,2023,10,21,1,,"1,000"
제49회 정선아리랑제,전통역사,정선군,정선읍,2023,9,14,2023,9,17,4,"14, 15, 16, 17","103,906"
제13회 철원 한탄강 얼음트레킹 축제,생태자연,철원군,동송읍,2023,1,14,2023,1,24,11,,"180,000"
제18회 철원 화강 다슬기 축제,생태자연,철원군,김화읍,2023,8,3,2023,8,6,4,"3/3, 4, 5","186,450"
제42회 태봉제,기타,철원군,갈말읍,2023,10,5,2023,10,7,3,,"35,980"
제19회 산천어축제,문화예술,화천군,화천읍,2023,1,7,2023,1,29,23,,"1,315,476"
제20회 화천토마토축제,특산물,화천군,"사내면,사창리",2023,8,3,2023,8,6,4,3,"116,514"
2024 청춘양구 곰취축제,특산물,양구군,양구읍,2023,5,5,2023,5,7,3,"5, 6","62,991"
2024 국토정중앙 청춘양구 배꼽축제,문화예술,양구군,양구읍,2023,9,1,2023,9,3,3,,"70,632"
2024 청춘양구 펀치볼 시래기 사과 축제,특산물,양구군,해안면,2023,10,28,2023,10,29,2,28,"31,493"
국토정중앙 양구 보름달축제,문화예술,양구군,국토정중앙면,2023,9,29,2023,9,30,2,,"1,100"
제24회 용대황태축제,지역특산물,인제군,북면,2023,5,27,2023,5,29,3,,"35,000"
제42회 합강문화제,문화예술,인제군,인제읍,2023,10,13,2023,10,15,3,14,"6,000"
2024 봉포리 죽도 하트썸 축제,기타,고성군,토성면,2023,10,6,2023,10,8,3,,"7,500"
해안선 레저스포츠 페스티벌,기타,고성군,죽왕면,2023,8,19,2023,8,20,2,,"1,000"
제42회 군민의 날 및 수성문화제,전통역사,고성군,간성읍,2023,9,22,2023,9,24,3,,"10,000"
제24회 고성통일명태축제,전통역사,고성군,거진읍,2023,10,26,2023,10,29,4,"27, 28, 29","107,000"
