festival_date,dong_name,festival_name,sigungu,festival_type,festival_duration
2023-06-13,근화동,춘천막국수닭갈비축제,춘천시,특산물,6
2023-06-14,근화동,춘천막국수닭갈비축제,춘천시,특산물,6
2023-06-15,근화동,춘천막국수닭갈비축제,춘천시,특산물,6
2023-06-16,근화동,춘천막국수닭갈비축제,춘천시,특산물,6
2023-06-17,근화동,춘천막국수닭갈비축제,춘천시,특산물,6
2023-06-18,근화동,춘천막국수닭갈비축제,춘천시,특산물,6
2023-08-25,효자1동,2024 온세대 합창페스티벌,춘천시,문화예술,1
2023-10-06,강남동,2024 석사천 재즈 페스타,춘천시,문화예술,3
2023-10-07,강남동,2024 석사천 재즈 페스타,춘천시,문화예술,3
2023-10-08,강남동,2024 석사천 재즈 페스타,춘천시,문화예술,3
2023-12-10,효자1동,2024 춘베리아 특급열차,춘천시,문화예술,3
2023-12-11,효자1동,2024 춘베리아 특급열차,춘천시,문화예술,3
2023-12-12,효자1동,2024 춘베리아 특급열차,춘천시,문화예술,3
2023-09-23,소양동,제45회 소양강문화제,춘천시,문화예술,2
2023-09-24,소양동,제45회 소양강문화제,춘천시,문화예술,2
2023-11-11,서면,춘천 토이페스티벌,춘천시,기타,2
2023-11-12,서면,춘천 토이페스티벌,춘천시,기타,2
2023-11-03,지정면,제23회 섬강축제,원주시,생태자연,3
2023-11-04,지정면,제23회 섬강축제,원주시,생태자연,3
2023-11-05,지정면,제23회 섬강축제,원주시,생태자연,3
2023-05-26,단계동,제21회 장미축제,원주시,기타,3
2023-05-27,단계동,제21회 장미축제,원주시,기타,3
2023-05-28,단계동,제21회 장미축제,원주시,기타,3
2023-09-22,명륜1동,2024 원주 댄싱카니발,원주시,문화예술,3
2023-09-23,명륜1동,2024 원주 댄싱카니발,원주시,문화예술,3
2023-09-24,명륜1동,2024 원주 댄싱카니발,원주시,문화예술,3
2023-05-05,무실동,제26회 원주한지문화제,원주시,문화예술,10
2023-05-06,무실동,제26회 원주한지문화제,원주시,문화예술,10
2023-05-07,무실동,제26회 원주한지문화제,원주시,문화예술,10
2023-05-08,무실동,제26회 원주한지문화제,원주시,문화예술,10
