festival_name,dong_name,lat,lng,address,matched
춘천막국수닭갈비축제,근화동,37.880716620367,127.712178775428,강원특별자치도 춘천시 근화동,강원특별자치도 춘천시 근화동
2024 온세대 합창페스티벌,효자 1동,37.8726764915039,127.72928595123,강원특별자치도 춘천시 효자상길5번길 13,춘천문화예술회관
2024 석사천 재즈 페스타,강남동,37.8688216587831,127.719728736766,강원특별자치도 춘천시 강남동,강원특별자치도 춘천시 강남동
2024 춘베리아 특급열차,효자 1동,37.8721797875576,127.727439862306,강원특별자치도 춘천시 효자1동,강원특별자치도 춘천시 효자1동
제45회 소양강문화제,소양동,37.8822401631629,127.72471526546,강원특별자치도 춘천시 소양동,강원특별자치도 춘천시 소양동
춘천 토이페스티벌,서면,37.8986923448081,127.692791905634,강원특별자치도 춘천시 서면,강원특별자치도 춘천시 서면
제23회 섬강축제,지정면,37.36375318404555,127.83399660816174,강원특별자치도 원주시 지정면 간현리 1031,간현관광지 주차장
제21회 장미축제,단계동,37.3466352004623,127.931185835616,강원특별자치도 원주시 단계동,장미공원
2024 원주 댄싱카니발,명륜1동,37.3377079319141,127.950692020858,강원특별자치도 원주시 명륜1동,강원특별자치도 원주시 명륜1동
제26회 원주한지문화제,무실동,37.3381922463301,127.929199369693,강원특별자치도 원주시 무실동,강원특별자치도 원주시 무실동
치악산 복숭아 축제,명륜1동,37.3377079319141,127.950692020858,강원특별자치도 원주시 명륜1동,강원특별자치도 원주시 명륜1동
치악산 고구마 축제,지정면,37.3621506214657,127.840189486855,강원특별자치도 원주시 지정면,강원특별자치도 원주시 지정면
2024 경포 벚꽃 축제,경포동,37.7837421724456,128.880646600214,강원특별자치도 강릉시 경포동,강원특별자치도 강릉시 경포동
제2회 초당미식로드축제 「초당도시락(樂)」,경포동,37.7837421724456,128.880646600214,강원특별자치도 강릉시 경포동,강원특별자치도 강릉시 경포동
강릉단오제,"강남동, 중앙동",37.7515622380184,128.8924069980608,강원특별자치도 강릉시 경강로 2046,강릉중앙동우체국
