festival_date,dong_name,total_visitors_daily,local_visitors_daily,foreign_visitors_daily,is_festival_active,festival_name,sigungu_name,day_of_week,festival_type,has_celebrity_performance,festival_duration,weather_station_id,min_temperature,max_temperature,rain_duration_active_hours,total_rainfall_active_hours,is_public_holiday,year,month,day,is_weekend,is_final_holiday,daily_festival_attendance_y
2022-12-01,화천읍,10612,8141,2471,0,없음,데이터없음,3,없음,0,0,101,-10.2,-0.5,0.0,0.0,0,2022,12,1,0,0,0
2022-12-02,화천읍,10426,8036,2390,0,없음,데이터없음,4,없음,0,0,101,-10.3,2.0,0.0,0.0,0,2022,12,2,0,0,0
2022-12-03,화천읍,9698,6755,2944,0,없음,데이터없음,5,없음,0,0,101,-5.6,5.0,2.0,1.0,0,2022,12,3,1,1,0
2022-12-04,화천읍,8726,6136,2590,0,없음,데이터없음,6,없음,0,0,101,-4.5,1.3,0.0,0.0,0,2022,12,4,1,1,0
2022-12-05,화천읍,10171,7962,2208,0,없음,데이터없음,0,없음,0,0,101,-8.2,3.4,0.0,0.0,0,2022,12,5,0,0,0
2022-12-06,화천읍,10654,7707,2947,0,없음,데이터없음,1,없음,0,0,101,-8.3,4.0,0.0,0.0,0,2022,12,6,0,0,0
2022-12-07,화천읍,11610,8372,3238,0,없음,데이터없음,2,없음,0,0,101,-4.0,8.5,0.0,0.0,0,2022,12,7,0,0,0
2022-12-08,화천읍,11126,8306,2821,0,없음,데이터없음,3,없음,0,0,101,-5.1,9.1,0.0,0.0,0,2022,12,8,0,0,0
2022-12-09,화천읍,10983,8082,2902,0,없음,데이터없음,4,없음,0,0,101,-4.5,7.2,0.0,0.0,0,2022,12,9,0,0,0
2022-12-10,화천읍,10314,6842,3472,0,없음,데이터없음,5,없음,0,0,101,-4.5,5.6,0.0,0.0,0,2022,12,10,1,1,0
2022-12-11,화천읍,9944,6328,3616,0,없음,데이터없음,6,없음,0,0,101,-6.4,8.3,0.0,0.0,0,2022,12,11,1,1,0
2022-12-12,화천읍,10776,8120,2656,0,없음,데이터없음,0,없음,0,0,101,-5.7,5.9,1.0,1.7,0,2022,12,12,0,0,0
2022-12-13,화천읍,10528,7910,2618,0,없음,데이터없음,1,없음,0,0,101,-4.3,2.9,1.0,0.1,0,2022,12,13,0,0,0
2022-12-14,화천읍,9856,7536,2320,0,없음,데이터없음,2,없음,0,0,101,-11.0,-4.6,0.0,0.0,0,2022,12,14,0,0,0
2022-12-15,화천읍,9352,7262,2090,0,없음,데이터없음,3,없음,0,0,101,-10.7,-4.1,5.0,3.6,0,2022,12,15,0,0,0
2022-12-16,화천읍,10706,8043,2664,0,없음,데이터없음,4,없음,0,0,101,-10.9,-2.7,0.0,0.0,0,2022,12,16,0,0,0
2022-12-17,화천읍,9982,6920,3062,0,없음,데이터없음,5,없음,0,0,101,-13.4,-3.3,0.0,0.0,0,2022,12,17,1,1,0
2022-12-18,화천읍,9146,6503,2642,0,없음,데이터없음,6,없음,0,0,101,-16.3,-5.1,0.0,0.0,0,2022,12,18,1,1,0
