datetime,hour,STN,TA,RN,SD_TOT
2023-08-01,0,131,28.1,0.0,
2023-08-01,1,131,27.3,0.0,
2023-08-01,2,131,26.6,0.0,
2023-08-01,3,131,26.2,0.0,
2023-08-01,4,131,26.1,0.0,
2023-08-01,5,131,25.6,0.0,
2023-08-01,6,131,25.3,0.0,
2023-08-01,7,131,26.0,0.0,
2023-08-01,8,131,27.6,0.0,
2023-08-01,9,131,29.3,0.0,
2023-08-01,10,131,31.1,0.0,
2023-08-01,11,131,32.7,0.0,
2023-08-01,12,131,33.5,0.0,
2023-08-01,13,131,34.3,0.0,
2023-08-01,14,131,33.9,0.0,
2023-08-01,15,131,35.0,0.0,
2023-08-01,16,131,34.7,0.0,
2023-08-01,17,131,34.9,0.0,
2023-08-01,18,131,33.3,0.0,
2023-08-01,19,131,32.6,0.0,
2023-08-01,20,131,32.0,0.0,
2023-08-01,21,131,31.2,0.0,
2023-08-01,22,131,30.7,0.0,
2023-08-01,23,131,30.1,0.0,
2023-08-02,0,131,29.7,0.0,
2023-08-02,1,131,29.2,0.0,
2023-08-02,2,131,28.7,0.0,
2023-08-02,3,131,28.2,0.0,
2023-08-02,4,131,27.8,0.0,
2023-08-02,5,131,27.2,0.0,
2023-08-02,6,131,27.1,0.0,
2023-08-02,7,131,27.8,0.0,
2023-08-02,8,131,28.7,0.0,
2023-08-02,9,131,29.8,0.0,
2023-08-02,10,131,30.8,0.0,
2023-08-02,11,131,31.8,0.0,
2023-08-02,12,131,33.4,0.0,
2023-08-02,13,131,33.8,0.0,
2023-08-02,14,131,33.9,0.0,
2023-08-02,15,131,33.9,0.0,
2023-08-02,16,131,33.6,0.0,
2023-08-02,17,131,33.9,0.0,
2023-08-02,18,131,33.2,0.0,
2023-08-02,19,131,31.7,0.0,
2023-08-02,20,131,30.8,0.0,
2023-08-02,21,131,30.2,0.0,
2023-08-02,22,131,29.5,0.0,
2023-08-02,23,131,28.6,0.0,
2023-08-03,0,131,28.1,0.0,
2023-08-03,1,131,27.4,0.0,
2023-08-03,2,131,26.6,0.0,
2023-08-03,3,131,26.5,0.0,
2023-08-03,4,131,26.1,0.0,
2023-08-03,5,131,25.8,0.0,
2023-08-03,6,131,25.2,0.0,
2023-08-03,7,131,26.7,0.0,
2023-08-03,8,131,28.2,0.0,
2023-08-03,9,131,29.8,0.0,
2023-08-03,10,131,31.4,0.0,
2023-08-03,11,131,32.0,0.0,
2023-08-03,12,131,33.0,0.0,
2023-08-03,13,131,33.4,0.0,
2023-08-03,14,131,34.6,0.0,
2023-08-03,15,131,34.0,0.0,
2023-08-03,16,131,34.0,0.0,
2023-08-03,17,131,34.6,0.0,
2023-08-03,18,131,34.2,0.0,
2023-08-03,19,131,33.0,0.0,
2023-08-03,20,131,31.7,0.0,
2023-08-03,21,131,30.7,0.0,
2023-08-03,22,131,30.2,0.0,
2023-08-03,23,131,29.8,0.0,
2023-08-04,0,131,29.6,0.0,
2023-08-04,1,131,28.5,0.0,
2023-08-04,2,131,28.4,0.0,
2023-08-04,3,131,28.5,0.0,
2023-08-04,4,131,27.7,0.0,
2023-08-04,5,131,27.5,0.0,
2023-08-04,6,131,26.7,0.0,
2023-08-04,7,131,27.6,0.0,
2023-08-04,8,131,28.9,0.0,
2023-08-04,9,131,30.0,0.0,
2023-08-04,10,131,31.1,0.0,
2023-08-04,11,131,32.0,0.0,
2023-08-04,12,131,33.2,0.0,
2023-08-04,13,131,34.6,0.0,
2023-08-04,14,131,34.3,0.0,
2023-08-04,15,131,35.2,0.0,
2023-08-04,16,131,35.6,0.0,
2023-08-04,17,131,35.1,0.0,
2023-08-04,18,131,34.7,0.0,
2023-08-04,19,131,33.6,0.0,
2023-08-04,20,131,32.0,0.0,
2023-08-04,21,131,31.1,0.0,
2023-08-04,22,131,30.6,0.0,
2023-08-04,23,131,30.2,0.0,
2023-08-05,0,131,29.7,0.0,
2023-08-05,1,131,29.1,0.0,
2023-08-05,2,131,28.5,0.0,
2023-08-05,3,131,28.2,0.0,
2023-08-05,4,131,27.8,0.0,
2023-08-05,5,131,27.5,0.0,
2023-08-05,6,131,27.7,0.0,
2023-08-05,7,131,28.1,0.0,
2023-08-05,8,131,29.5,0.0,
2023-08-05,9,131,31.3,0.0,
2023-08-05,10,131,32.0,0.0,
2023-08-05,11,131,32.0,0.0,
2023-08-05,12,131,32.6,0.0,
2023-08-05,13,131,33.6,0.0,
2023-08-05,14,131,35.2,0.0,
2023-08-05,15,131,35.2,0.0,
2023-08-05,16,131,35.2,0.0,
2023-08-05,17,131,34.7,0.0,
2023-08-05,18,131,34.5,0.0,
2023-08-05,19,131,33.1,0.0,
2023-08-05,20,131,31.6,0.0,
2023-08-05,21,131,30.7,0.0,
2023-08-05,22,131,29.7,0.0,
2023-08-05,23,131,29.0,0.0,
2023-08-06,0,131,28.7,0.0,
2023-08-06,1,131,28.2,0.0,
2023-08-06,2,131,27.6,0.0,
2023-08-06,3,131,27.3,0.0,
2023-08-06,4,131,27.0,0.0,
